Plot_ID,Site_ID,Treatment,Bioregion,Easting,Northing,Plot bearing,Aspect_deg,Slope,Aspect,Exposure_NW,Fire_Severity_2003,Elevation,Climate,Rehab_Yr,Temp_C,Prec_mm,ANPP, SLA,  LDMC,Leaf_N,Leaf_C,Leaf_C_N,Leaf_N_P,Leaf_C_P,Leaf_B,Leaf_Na,Leaf_Mg,Leaf_P,Leaf_Ca43,Leaf_Ca44,Leaf_Mn,Leaf_K,Leaf_Fe,Leaf_Cu,Leaf_Zn66,Leaf_Zn67,Leaf_Mo,Leaf_Pb,Leaf_Sr,Exotic_Cover,Fern_Cov,Forb_Cov,GG_cov,Other_cover,Shrub_cov,Tree_cov,Exotic_R,Fern_R,Forb_R,GG_R,Other_R,Shrub_R,Tree_R,Native_R,Native_cov,Total_R,Logs,<5_adj,5_9_adj,10_19_adj,20_29_adj,30_49_adj,50_79_adj,80+_adj,HTW_cov,PA_recruit,Recruit_TG_SG,Nat_Spp_fruiting,%_spp_fruit,%_TG_SG_recruit,Euc_live_ha,Euc_dead_ha,Acac_ha,Tree_live_ha,mean_live_DBH,StdDev_live_DBH,CV_DBH,Pr_Epicormic,Av_Dist_Tree_m,SumCoverDom,Dominant_Euc,Frt_shan,shannon_div,resprout_w,wooddens_w,basal_area
571,KaiserSandWash,Reference,South Eastern Highlands,623755,6026767,199,137,11.8,Southeast,698,High,1090,Cool-wet,N/A,9.05,1232.34,442.14,7.98,422.65,1.69,53.44,32.38,25.98,810.14,16.0191395,24.17482554,2306.734094,713.13,3806.935637,3792.312969,399.6076314,9477.533327,130.3676246,5.609406133,32.70368094,24.45495718,0.036419419,2.45917689,33.21582456,0.2,5.1,0.8,0.4,0.2,64.7,45,2,2,4,3,2,12,2,25,116.2,27,320,10,20,30,25,15,0,0,0.1,0,1,7,28,7.14,100,40,0,100,17.8,11.31,0.64,0.3,2.625,108,Eucalyptus_robertsonii,1.029709804,1.406458486,0.52,0.54,120
572,IslandBend,Reference,Australian Alps,636569,5982670,115,210,13.3,Southwest,1000,Low,1080,Cool-dry,N/A,9.04,847.87,421.08,4.22,532.94,1.34,53.46,42.23,23.41,960.01,18.67926722,23.14000531,1449.919987,593.98,5913.438793,5764.375593,813.3208298,7064.774329,69.89291017,5.32253479,16.72323985,16.28557718,0.112712889,2.868658693,41.55705139,0,0,0.9,2.2,0.1,11.6,31,0,0,9,3,1,8,2,23,45.8,23,162.5,0,0,3,3,0,15,3,0,0,1,10,43.48,10,22.5,2.5,0,22.5,57.83,24.28,0.42,0,3.0375,41,Eucalyptus_dalrympleana,0.493213599,1.384458818,0.85,0.56,180.6451613
573,IslandBend,Reference,Australian Alps,637334,5981433,115,358,19.4,North,954,Very High,1030,Cool-dry,N/A,8.89,859.78,419.6,5.36,739.61,1.22,52.96,43.73,23.62,1010.39,11.91326898,57.37957671,1121.085908,563.75,5072.766296,4924.747978,256.8146486,3919.770145,129.5244933,5.551738436,31.9510735,20.20290563,0.019471768,5.976868691,24.42561305,0,0,0.3,2,0,45.7,16.2,0,0,2,2,0,7,3,14,64.2,14,62.5,30,50,25,25,5,0,0,0,0,0,7,50,0,135,30,0,135,11.5,8.38,0.73,0,2.2,60,Eucalyptus_dives,0.681569695,1.314639552,0.59,0.67,413.5802469
574,IslandBend,Reference,Australian Alps,637201,5981303,65,358,9.2,North,954,Moderate,1070,Cool-dry,N/A,8.58,933.25,419.15,4.86,542.4,1.28,52.34,42.92,18.68,771.15,16.75836746,83.53460407,1739.970673,705.82,6383.771224,6181.748991,276.6933304,5206.728563,163.2984637,18.02693504,37.66855809,29.55124182,0.119389927,12.41442341,26.54428612,0,0,0,5.7,0,44.5,26,0,0,0,2,0,8,3,13,76.2,13,212.5,40,70,70,0,0,10,0,0,1,1,9,69.23,9.09,190,10,52,242,12.03,11.55,0.96,0,1.775,68,Eucalyptus_dalrympleana,0.737906228,1.472494725,0.63,0.65,250
575,ValveHouse,Rehab,South Eastern Highlands,641656,5977236,11,17,8.7,North,1079,unburnt,1040,Cool-dry,2011,8.96,762.42,415.46,4.54,511.96,1.41,52.71,40.16,20.14,712.8,12.52629002,57.77272981,1574.451556,810.72,8877.147471,8695.112882,273.937676,7931.310928,77.21699122,4.239759239,19.64794979,15.95726543,2.680610262,0.436603014,24.50118564,0.1,0,0.5,1.8,0,2.1,16.1,1,0,1,3,0,6,5,15,20.5,16,77.5,150,67,0,0,0,0,0,0,0,0,9,60,0,216.67,0,16,232.67,3.65,1.61,0.44,0,3.05,16.5,Eucalyptus_viminalis,0.914071538,2.042576219,0.76,0.56,347.826087
576,ValveHouse,Reference,South Eastern Highlands,641990,5976751,328,82,11.1,East,1146,Moderate,1060,Cool-dry,N/A,8.77,791.21,414.34,6.16,637.45,1.13,52.67,47.28,13.32,618.88,28.57284807,147.8907696,2277.408119,924.14,8045.730613,7830.805453,500.6593779,5101.402882,194.9203878,19.79673164,43.30388254,33.38305768,0.284596513,9.053946647,29.44612296,0,0,0.7,2.7,0.1,16.6,17.2,0,0,5,5,1,7,3,21,37.3,21,160,20,25,23,10,15,0,0,0,0,1,9,42.86,10,92.5,0,5,97.5,13.91,11.06,0.8,0,2.875,32.8,Eucalyptus_dives,0.978986971,1.681862521,0.63,0.6,348.8372093
577,ValveHouse,Reference,South Eastern Highlands,642330,5975271,215,146,14.3,Southeast,1204,Low,1020,Cool-dry,N/A,9.32,690.27,416.8,5.88,577.72,1.39,52.27,40.03,18.89,695.16,17.91665618,155.6200297,2076.477289,863.89,12573.71712,12403.08081,1017.060527,5107.444433,203.5998331,9.425971729,44.82027312,32.35531128,0.238974979,5.02341068,41.43393588,0,0,0.3,30.5,0.1,8.6,11.1,0,0,3,4,1,7,5,20,50.6,20,127.5,63,33,42,8,4,0,0,0,1,4,9,45,33.33,150,4.17,2,152,8.36,8.52,1.02,0,2.35,13,Eucalyptus_rubida,0.490472996,1.557290642,0.63,0.61,549.5495495
578,IslandBend,Reference,Australian Alps,636405,5982320,104,20,21.5,North,1079,High,1060,Cool-dry,N/A,8.55,960.45,420.17,5.27,590.35,1.4,51.38,40.33,17.63,633.24,15.65197065,29.0858813,1767.360191,935.42,13541.15989,13544.31056,824.4935877,6906.254244,114.2370914,6.831854667,23.51316152,20.60716177,0.094414756,9.494393578,45.91522365,0.2,0,0.6,10.2,0.1,13.7,38,2,0,6,4,1,13,3,27,62.6,29,97.5,125,31,19,0,6,13,0,0,1,6,4,14.81,37.5,193.75,0,85,278.75,8.63,14.75,1.71,0.13,2.5,49,Eucalyptus_viminalis,1.177035511,1.867489517,0.7,0.57,150
596,TumutPonds,Reference,Australian Alps,625241,6018362,70,315,22.8,Northwest,1342,Low,1195,Cool-wet,N/A,8.3,1340.41,437.04,6.22,489.76,2.13,54.05,27.11,26.69,670.92,17.00715289,47.04602979,1346.400064,843.77,3405.596078,3232.337631,215.7381531,8211.063332,119.4855716,9.386535848,37.4048795,27.47885406,0.09167246,2.89908168,13.46342549,0.3,0,2.8,60.5,0.1,67.7,20.3,3,0,19,2,1,13,3,38,151.4,41,112.5,18,50,4,0,0,0,4,0.1,0,0,10,26.32,0,75,0,0,75,11.52,24,2.08,0.48,3.75,84,Eucalyptus_stellulata,1.241726728,1.49802949,0.52,0.57,280.7881773
597,TumutPonds,Reference,Australian Alps,625706,6019733,295,251,12,West,1544,Very High,1205,Cool-wet,N/A,8.59,1273.73,437.67,6.15,462.22,1.32,52.33,42.02,18.16,761.18,15.04671195,40.91144298,1929.729925,762.03,4452.082338,4311.851536,1600.391873,5704.395546,115.9811804,9.983136763,24.99653938,17.01921054,0.033398298,4.074654239,34.55756618,0,0,0,0.7,0.1,90.7,37,0,0,0,2,1,9,2,14,128.5,14,45,9,173,18,0,0,0,0,0,0,0,5,35.71,0,200,0,0,200,7.61,1.95,0.26,0,1.95,125,Eucalyptus_pauciflora,1.515910916,1.390464085,0.16,0.57,154.0540541
598,TumutPonds,Rehab,Australian Alps,625736,6019787,237,257,10.2,West,1544,unburnt,1210,Cool-wet,2007,8.52,1289.8,437.44,4.25,477.68,1.39,53.78,40.7,14.3,576.78,8.915324756,18.23902041,2117.926284,1017.14,6423.767712,6180.244817,695.8988061,5766.306001,70.76004982,5.991284015,21.03858369,15.20146389,0.037258875,1.934539078,23.01495533,11.1,0,0.5,1.5,0,10.3,36.5,9,0,3,2,0,11,5,21,48.8,30,2.5,367,133,50,17,0,0,0,0.5,0,0,6,28.57,0,566.67,16.67,0,566.67,4.78,5.38,1.13,0.59,1.65,37,Eucalyptus_pauciflora,0,2.132379856,0.62,0.57,156.1643836
599,TumutPonds,Rehab,Australian Alps,625748,6019800,21,270,21.3,West,1477,unburnt,1215,Cool-wet,2007,8.49,1296.05,437.37,4.4,455.77,1.53,52.89,37.8,17.33,625.76,13.30817434,22.44939491,1847.581403,939.34,6102.57461,6015.446391,363.6723617,6123.447356,86.99670056,12.27795892,37.28210556,28.42330854,0.176688,5.926630252,25.6391487,61.4,0,0.5,5.1,0,13.6,18,6,0,3,2,0,11,4,20,37.2,26,192.5,50,85,15,0,0,0,0,0.8,0,0,9,45,0,150,20,0,150,5.85,3.21,0.55,0.47,2.875,25,Eucalyptus_dalrympleana,0.837771613,1.597742239,0.6,0.57,316.6666667
