Sample_id,Plot_id,Site_id,Survey_date,Treatment,Patch,PCT_Number,PCT_Name,Establishment,Total_litter_ex_dung,Sticks_bark,Leaves_overstorey,Leaves_understorey,Coarse_frass,Fine_frass,Seeds_fruits,Woodchip,Dung,MIR_HUM%,MIR_POC%,MIR_ROC%,MIR_TOC%,MIR_TN%,Pmg/Kg,pH,ECmicroS/cm,PLFA_Total_biomass,PLFA_Gram+bacteria,PLFA_Gram-bacteria ,PLFA_General_bacteria,PLFA_Actinobacteria,PLFA_Fungi,PLFA_Protozoa,PLFA_Arbuscular_mycorrhizae,PLFA_Fungi:bacteria,Enzymes_AB,Enzymes_BG,Enzymes_CB,Enzymes_NAG,Enzymes_PHO,Enzymes_XYL,Enzymes_LAP,Resp_Water,Resp_Fructose,Resp_Glucose,Resp_Maltose,Resp_Raffinose,Resp_Sucrose,Resp_Threonine,Resp_Xylose,reads_fungi,obs_richness_fungi,chao1_richness_fungi,obs_shannon_fungi,obs_richness_fungi_ArbuscularMycorrhizal,obs_richness_fungi_Ectomycorrhizal,obs_richness_fungi_PlantPathogen,obs_richness_fungi_WoodSaprotroph,obs_richness_fungi_OrchidMycorrhizal,chao1_richness_fungi_ArbuscularMycorrhizal,chao1_richness_fungi_Ectomycorrhizal,chao1_richness_fungi_PlantPathogen,chao1_richness_fungi_WoodSaprotroph,chao1_richness_fungi_OrchidMycorrhizal,obs_shannon_fungi_ArbuscularMycorrhizal,obs_shannon_fungi_Ectomycorrhizal,obs_shannon_fungi_PlantPathogen,obs_shannon_fungi_WoodSaprotroph,obs_shannon_fungi_OrchidMycorrhizal,relabund_fungi_ArbuscularMycorrhizal,relabund_fungi_Ectomycorrhizal,relabund_fungi_PlantPathogen,relabund_fungi_WoodSaprotroph,relabund_fungi_OrchidMycorrhizal,reads_bacteria,obs_richness_bacteria,chao1_richness_bacteria,obs_shannon_bacteria,obs_richness_bacteria_copiotrophic,obs_richness_bacteria_oligotrophic,chao1_richness_bacteria_copiotrophic,chao1_richness_bacteria_oligotrophic,obs_shannon_bacteria_copiotrophic,obs_shannon_bacteria_oligotrophic,relabund_bacteria_copiotrophic,relabund_bacteria_oligotrophic
91O,91,Bulga,15/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2013,32,3,4,2,7,16,0,0,4.2,1.44,1.48,1.50,4.86,0.26,58.52,8.65,197.10,13.82,2.09,3.41,1.59,1.23,0.32,0.37,0.48,0.08,101.6,331.8,99.1,78.3,97.5,68.8,306.6,0.261,0.251,0.225,0.283,0.295,0.318,0.280,0.234,22586,474,612.63,4.49,47,2,35,4,0,65.29,2.00,47.10,4.00,0.00,2.956,0.191,1.970,1.386,0.000,0.037,0.002,0.085,0.001,0.000,41897,2131,3474.78,7.01,758,310,1137.06,456.98,6.00,4.99,0.40,0.19
91T,91,Bulga,15/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2013,73.2,5,11,5,21,30,1.2,0,5.4,1.82,1.94,1.65,5.98,0.32,103.92,8.13,107.80,13.69,2.02,3.86,1.71,0.98,0.57,0.20,0.50,0.12,43.4,177.7,45.0,46.2,53.4,28.8,152.6,0.310,0.280,0.347,0.381,0.386,0.395,0.359,0.298,31924,521,671.30,4.72,13,5,39,3,1,19.00,5.50,44.06,4.00,1.00,2.136,0.895,2.485,0.485,0.000,0.014,0.021,0.063,0.002,0.002,43833,2038,3511.46,6.93,859,225,1507.03,358.92,6.08,4.47,0.47,0.15
92O,92,Bulga,16/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2007,303.2,72,45,0,105,81,0.2,0,5.1,0.77,0.55,0.55,2.11,0.13,4.61,7.05,104.20,11.81,1.59,3.04,2.00,0.66,0.93,0.31,0.26,0.27,12.0,78.4,20.8,38.0,85.7,11.1,42.5,0.318,0.297,0.348,0.383,0.395,0.403,0.358,0.281,32019,605,821.89,4.95,4,22,18,12,3,7.00,26.50,26.33,27.00,3.00,1.242,1.699,2.156,1.249,0.396,0.001,0.197,0.005,0.036,0.004,43296,2228,4216.35,6.90,867,349,1556.19,651.16,5.88,5.09,0.47,0.17
92T,92,Bulga,16/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2007,483,216,58,0.3,139,65,4.7,0,0,0.83,0.73,0.71,2.36,0.14,5.05,6.70,107.30,10.92,1.53,2.97,1.66,0.64,0.74,0.12,0.21,0.21,15.0,154.6,42.1,42.0,136.8,21.2,129.6,0.299,0.283,0.315,0.340,0.357,0.354,0.335,0.227,38241,544,785.52,4.37,0,21,15,8,2,0.00,45.50,25.67,20.50,2.00,0.000,1.830,2.141,0.683,0.349,0.000,0.192,0.005,0.008,0.001,34828,2001,3615.39,6.71,770,317,1370.18,514.51,5.69,4.98,0.46,0.16
93O,93,Bulga,16/05/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2015,31.1,10,2,7,5,7,0.1,0,3.5,0.69,0.36,0.50,1.96,0.14,8.22,6.62,830.00,12.99,1.92,3.34,1.76,1.02,0.47,0.42,0.33,0.12,37.2,138.7,37.8,120.5,254.4,63.2,150.3,0.290,0.248,0.299,0.342,0.339,0.351,0.280,0.270,28172,624,795.42,4.92,47,11,35,6,2,53.72,17.25,47.50,7.00,2.00,3.375,2.035,1.990,1.307,0.611,0.031,0.004,0.055,0.004,0.001,32825,2394,4496.31,7.14,869,349,1569.58,626.69,6.16,5.11,0.40,0.16
93T,93,Bulga,16/05/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2015,42.2,2,15,6,11,8,0.2,0,1.5,0.83,0.48,0.54,2.03,0.13,7.96,6.36,289.00,14.47,2.17,3.54,2.31,1.06,1.31,0.15,0.28,0.32,39.5,244.4,76.4,187.1,362.1,69.9,156.6,0.259,0.295,0.311,0.327,0.328,0.328,0.302,0.253,26304,568,727.25,4.50,13,28,24,10,3,22.00,32.57,27.60,11.00,3.00,2.247,1.810,2.404,1.745,0.684,0.004,0.313,0.018,0.007,0.005,37485,2063,3735.58,6.86,837,284,1467.03,565.18,5.93,5.18,0.50,0.10
51O,51,Belford,29/03/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,345.4,124,32,1,104,80,4.4,0,0.4,2.23,1.58,1.62,6.03,0.30,10.55,6.18,48.50,9.31,1.49,2.78,1.27,0.57,0.24,0.19,0.17,0.08,7.1,70.8,12.8,40.4,148.7,14.5,38.1,0.553,0.535,0.636,0.676,0.760,0.647,0.606,0.501,35480,474,624.16,4.32,1,37,3,8,1,1.00,40.13,4.00,14.00,1.00,0.000,2.468,0.736,1.307,0.000,0.000,0.243,0.001,0.016,0.000,37314,2167,3887.00,6.88,637,495,1129.72,804.68,5.80,5.26,0.31,0.30
51T,51,Belford,29/03/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,580.9,420,26,1,72,55,6.9,0,0.6,3.16,2.22,2.60,9.13,0.47,17.50,6.24,105.90,16.42,2.60,5.27,2.43,1.19,0.33,0.21,0.33,0.05,25.7,178.1,44.1,83.9,221.1,31.0,97.6,0.471,0.514,0.582,0.591,0.615,0.597,0.553,0.419,22636,656,836.04,4.80,3,39,9,8,1,5.00,45.13,13.50,14.00,1.00,1.040,2.144,1.771,1.100,0.000,0.000,0.312,0.005,0.007,0.000,26641,1878,3215.89,6.72,611,373,971.63,587.38,5.68,5.00,0.38,0.25
52O,52,Belford,29/03/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,325,64,20,6,103,125,7,0,1.2,1.31,0.77,1.11,3.63,0.22,6.31,6.30,28.90,16.76,2.68,5.16,2.52,1.18,0.55,0.14,0.37,0.09,7.5,58.6,9.4,21.9,102.9,5.8,55.0,0.343,0.307,0.352,0.374,0.384,0.391,0.366,0.320,36151,765,1105.37,4.95,12,33,32,11,1,78.00,65.00,60.13,12.00,1.00,2.485,2.194,3.003,2.069,0.000,0.001,0.236,0.012,0.006,0.000,35358,2317,4096.34,7.01,673,530,1117.87,892.67,5.89,5.40,0.32,0.28
52T,52,Belford,29/03/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,595.6,279,24,6,173,83,5.6,25,0,2.24,1.51,1.89,6.52,0.36,11.14,6.35,102.90,16.78,2.68,5.31,2.57,1.21,0.41,0.11,0.34,0.07,19.3,141.6,36.3,42.4,163.9,30.4,44.4,0.401,0.355,0.402,0.438,0.452,0.457,0.441,0.360,29694,593,801.00,4.53,0,33,7,4,2,0.00,39.40,11.00,6.00,2.00,0.000,1.862,1.615,1.034,0.562,0.000,0.278,0.002,0.001,0.000,37287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53O,53,Belford,29/03/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,353.7,90,38,2,143,80,0.7,0,0.1,1.76,1.21,1.50,5.06,0.25,9.82,5.78,42.80,18.57,3.21,5.99,2.83,1.29,0.50,0.25,0.30,0.07,34.0,274.0,44.8,157.2,469.7,42.8,41.4,0.402,0.365,0.413,0.451,0.475,0.591,0.449,0.300,24963,548,734.13,4.58,0,43,3,12,0,0.00,53.13,3.00,44.00,0.00,0.000,2.565,1.004,1.531,0.000,0.000,0.400,0.001,0.007,0.000,33153,1777,2887.05,6.54,492,348,780.49,551.60,5.31,4.96,0.31,0.24
53T,53,Belford,29/03/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,489,118,42,2,202,100,2,23,0,1.96,1.37,1.56,5.65,0.28,11.32,5.45,64.50,17.11,2.99,4.91,2.71,1.40,0.45,0.04,0.52,0.07,18.6,89.1,22.9,87.9,213.5,21.6,49.7,0.385,0.362,0.425,0.458,0.478,0.607,0.432,0.375,28269,572,719.96,4.78,2,32,9,7,0,3.00,44.25,15.25,7.00,0.00,0.693,2.193,2.003,1.040,0.000,0.000,0.333,0.002,0.043,0.000,31929,1678,2968.67,6.41,516,350,901.52,570.78,5.26,4.96,0.36,0.21
68O,68,Mt Owen,7/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,231.6,48,37,9,75,60,2.6,0,6.6,2.37,1.91,1.91,6.87,0.30,12.71,6.07,59.80,17.19,3.20,5.15,2.34,1.22,0.27,0.09,0.44,0.04,40.7,310.0,67.2,173.9,405.8,51.6,58.2,0.474,0.473,0.574,0.633,0.629,0.614,0.601,0.437,27986,568,770.13,4.54,4,45,18,10,1,7.00,53.64,33.13,18.00,1.00,1.074,2.441,2.710,2.089,0.000,0.001,0.396,0.004,0.003,0.000,37952,2269,4262.14,6.94,744,557,1411.54,1043.40,5.99,5.34,0.32,0.31
68T,68,Mt Owen,7/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,666,272,18,3,203,106,7,57,0.3,2.94,2.45,2.40,9.05,0.36,15.39,5.81,103.60,15.11,2.44,4.95,2.20,0.87,0.52,0.10,0.26,0.09,34.0,208.2,46.4,341.0,341.0,63.9,74.8,0.502,0.460,0.610,0.622,0.661,0.663,0.568,0.449,27737,688,890.32,4.90,0,26,15,10,2,0.00,26.64,51.00,12.25,3.00,0.000,2.480,2.168,0.848,0.693,0.000,0.069,0.003,0.027,0.000,42395,2058,3847.97,6.74,756,391,1294.02,686.68,5.74,5.11,0.44,0.20
69O,69,Mt Owen,7/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,320.1,81,19,15,102,94,5.1,4,1.9,2.51,2.32,1.90,7.41,0.36,14.49,5.82,65.80,16.16,2.78,5.50,2.58,1.14,0.44,0.14,0.21,0.07,12.2,95.0,21.7,55.5,145.7,11.4,90.0,0.444,0.423,0.511,0.580,0.603,0.587,0.523,0.378,38343,643,804.68,4.85,4,22,19,9,1,4.17,43.00,69.00,21.50,1.00,1.352,2.079,2.456,1.245,0.000,0.001,0.170,0.007,0.011,0.000,36613,2208,4045.02,6.83,702,484,1184.84,817.58,5.73,5.38,0.38,0.24
69T,69,Mt Owen,7/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,335.4,104,7,5,77,139,3.4,0,1.4,2.67,2.35,2.04,7.83,0.36,16.06,5.93,107.50,13.44,2.21,4.14,2.05,0.94,0.28,0.08,0.26,0.06,17.3,140.2,35.3,142.9,244.6,24.1,135.1,0.395,0.426,0.474,0.494,0.465,0.482,0.431,0.326,22983,624,828.08,4.84,1,34,12,7,1,1.00,47.50,18.00,7.00,1.00,0.000,2.156,2.084,1.396,0.000,0.000,0.164,0.007,0.016,0.002,40405,2181,4271.01,6.84,734,466,1501.82,866.06,5.81,5.36,0.39,0.23
70O,70,Mt Owen,7/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,492,84,23,1,135,246,3,0,3.7,1.56,1.38,0.90,3.98,0.27,16.62,5.46,66.90,16.41,2.83,4.95,2.54,1.17,0.36,0.11,0.34,0.06,33.9,199.9,56.4,103.6,254.8,57.6,67.5,0.454,0.432,0.600,0.640,0.660,0.691,0.595,0.620,27031,575,789.02,4.27,5,24,20,12,0,5.17,28.50,23.50,16.00,0.00,1.557,2.119,2.626,1.587,0.000,0.001,0.454,0.007,0.012,0.000,52272,2013,3764.27,6.71,737,396,1432.64,677.19,5.63,5.19,0.42,0.21
70T,70,Mt Owen,7/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,520.1,114,74,1,131,199,1.1,0,4.2,2.21,2.25,1.51,6.58,0.31,22.27,5.33,95.40,20.26,3.06,6.69,3.08,1.20,0.71,0.15,0.41,0.09,33.5,161.2,39.4,181.0,322.9,49.7,73.6,0.587,0.617,0.842,0.821,0.827,0.967,0.777,1.060,22824,603,801.12,4.49,0,20,19,8,1,0.00,29.00,32.50,12.50,1.00,0.000,1.931,2.520,0.831,0.000,0.000,0.274,0.007,0.023,0.000,43772,2228,4298.46,6.91,761,433,1463.24,767.60,5.85,5.40,0.40,0.21
71O,71,Mt Owen,7/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,316.9,48,20,1,113,132,2.9,0,2.8,2.59,2.13,1.84,7.23,0.35,15.43,5.98,86.50,19.83,3.63,6.06,2.92,1.49,0.31,0.12,0.47,0.04,19.5,211.0,50.0,157.1,212.0,56.9,124.4,0.598,0.669,0.783,0.878,0.842,0.991,0.908,0.923,32197,746,1008.00,5.06,7,34,14,11,0,19.50,36.00,54.50,15.50,0.00,1.834,2.237,1.775,2.070,0.000,0.001,0.212,0.008,0.007,0.000,43164,2189,4012.18,6.83,719,497,1284.74,902.05,5.93,5.14,0.33,0.29
71T,71,Mt Owen,7/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,670.6,295,15,3,173,157,5.6,22,6.2,3.06,2.40,2.03,8.47,0.43,18.27,6.11,119.50,21.10,3.65,6.60,3.20,1.64,0.35,0.13,0.45,0.04,27.7,270.5,67.0,145.7,603.5,43.4,160.2,0.609,0.692,0.815,0.856,1.113,1.595,1.091,1.062,27392,762,979.03,5.17,1,33,14,9,1,1.00,49.00,24.00,11.00,1.00,0.000,1.621,2.246,0.433,0.000,0.000,0.115,0.008,0.053,0.000,40626,2139,3813.41,6.84,755,467,1274.07,774.55,5.83,5.25,0.40,0.23
77O,77,Mt Owen,9/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,338.6,77,34,1,75,146,5.6,0,0.5,1.53,0.94,1.36,4.29,0.21,8.80,5.62,42.50,16.20,2.61,5.16,2.22,1.02,0.54,0.31,0.33,0.09,42.7,201.8,60.4,120.8,350.1,78.9,37.6,0.450,0.511,0.696,0.631,0.728,0.761,0.616,0.565,23806,636,824.48,4.87,1,38,14,14,1,1.00,42.17,20.25,38.50,1.00,0.000,2.682,2.299,2.154,0.000,0.000,0.425,0.005,0.006,0.001,33489,2098,3820.85,6.79,616,435,1133.66,780.03,5.60,5.18,0.32,0.24
77T,77,Mt Owen,9/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,221.4,81,31,2,53,52,2.4,0,1.4,1.99,1.39,1.76,5.96,0.25,9.96,5.77,48.00,18.01,2.89,5.93,2.56,1.18,0.55,0.12,0.31,0.08,23.2,108.0,56.1,83.9,287.5,81.5,36.4,0.466,0.596,0.599,0.716,0.742,0.799,0.630,0.689,34351,561,715.67,4.47,1,25,17,3,1,1.00,25.25,20.60,6.00,1.00,0.000,1.909,1.123,1.099,0.000,0.000,0.342,0.019,0.000,0.000,38070,1931,3577.19,6.63,604,357,1245.45,550.39,5.40,5.11,0.38,0.18
78O,78,Mt Owen,9/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,331,66,57,1,89,109,5,4,1.6,2.69,1.78,2.07,7.39,0.32,11.28,5.97,61.30,16.27,2.81,4.94,2.26,1.16,0.32,0.21,0.34,0.05,91.2,523.7,129.2,130.6,538.6,125.4,273.4,0.485,0.761,0.856,0.881,0.821,0.808,0.662,0.571,32037,546,750.54,4.27,1,28,11,3,0,1.00,48.25,43.00,3.50,0.00,0.000,1.615,2.197,0.900,0.000,0.000,0.257,0.002,0.001,0.000,37649,2188,3818.25,6.84,755,478,1295.47,784.94,5.89,5.16,0.37,0.26
78T,78,Mt Owen,9/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,577.5,186,35,1,173,142,10.5,30,1.9,2.85,1.54,2.29,7.72,0.31,11.75,6.04,81.40,18.85,3.01,6.14,2.76,1.24,0.62,0.13,0.35,0.09,24.2,165.6,27.5,117.8,306.2,28.2,78.8,0.430,0.588,0.680,0.664,0.724,0.772,0.575,0.568,22267,622,824.00,4.91,0,29,9,11,1,0.00,45.00,15.00,12.00,1.00,0.000,2.127,1.825,1.341,0.000,0.000,0.260,0.005,0.023,0.000,43263,2135,3665.21,6.83,709,463,1248.60,723.74,5.81,5.25,0.37,0.25
79O,79,Mt Owen,9/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,382.8,108,40,0.5,141,92,1.3,0,0,2.88,2.32,2.12,8.39,0.34,12.71,5.79,74.80,25.13,3.55,8.60,3.73,1.44,0.48,0.06,0.44,0.05,65.1,232.6,50.7,61.5,104.4,50.6,44.6,0.334,0.329,0.347,0.362,0.405,0.408,0.422,0.299,17643,516,682.76,4.44,1,38,17,11,1,1.00,42.08,32.13,15.50,1.00,0.000,2.256,2.301,1.636,0.000,0.000,0.397,0.005,0.019,0.000,43894,1944,3700.93,6.67,624,403,1235.80,665.34,5.56,5.19,0.37,0.23
79T,79,Mt Owen,9/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,559.6,91,59,1,191,215,2.6,0,0,2.24,1.57,1.61,6.14,0.27,11.96,5.67,86.00,12.71,1.85,4.30,1.77,0.71,0.37,0.27,0.20,0.08,22.9,171.1,92.0,197.0,760.1,36.8,46.6,0.447,0.358,0.466,0.497,0.532,0.497,0.493,0.387,30607,586,772.02,4.64,2,30,11,8,0,3.00,32.00,13.67,10.00,0.00,0.693,2.294,2.012,1.168,0.000,0.000,0.380,0.004,0.008,0.000,42979,2021,3774.98,6.73,654,421,1257.50,654.47,5.67,5.24,0.37,0.23
80O,80,Mt Owen,11/04/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,375.6,84,48,1,71,171,0.6,0,3,2.49,2.13,1.78,7.27,0.36,11.59,6.32,51.50,17.58,3.00,5.48,2.44,1.21,0.40,0.10,0.43,0.06,115.8,468.3,150.2,138.3,495.6,84.9,168.0,0.493,0.442,0.541,0.598,0.630,0.609,0.549,0.456,27904,663,911.35,4.94,3,32,21,7,1,4.00,72.50,25.50,10.00,1.00,0.485,2.587,2.472,1.265,0.000,0.002,0.216,0.011,0.009,0.000,40165,2195,4192.97,6.86,736,482,1397.81,843.76,5.92,5.25,0.35,0.26
80T,80,Mt Owen,11/04/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,470.8,59,22,3,128,257,1.8,0,0,2.50,1.90,1.64,6.65,0.35,11.60,6.23,85.40,19.28,3.46,5.85,2.76,1.40,0.38,0.16,0.45,0.05,33.5,421.2,54.0,104.4,824.5,38.4,111.1,0.446,0.425,0.525,0.580,0.588,0.578,0.519,0.440,24764,621,853.30,4.78,3,36,15,9,0,5.00,41.33,25.67,9.25,0.00,1.040,2.112,1.906,1.690,0.000,0.000,0.219,0.007,0.007,0.000,41382,2239,4004.68,6.89,757,527,1399.63,887.07,5.87,5.34,0.36,0.27
85O,85,Bulga,14/05/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,99.1,60.5,10,0.5,18,10,0.1,0,0,0.60,0.43,0.60,1.95,0.13,5.72,6.21,24.50,15.88,2.54,4.55,2.32,1.02,0.86,0.14,0.41,0.16,53.0,211.0,48.8,108.5,215.4,32.3,67.2,0.285,0.262,0.296,0.314,0.323,0.336,0.312,0.261,37247,629,865.22,4.64,10,21,23,7,4,25.00,33.50,41.00,7.17,4.50,2.158,1.842,1.991,0.837,1.241,0.002,0.320,0.012,0.032,0.001,32049,2427,4455.70,7.07,747,505,1274.16,928.20,5.96,5.46,0.34,0.24
85T,85,Bulga,14/05/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,277.4,41,14,3,50,33,0.4,136,0,0.94,0.91,0.99,3.41,0.21,10.00,6.00,50.40,24.07,3.92,7.45,3.70,1.47,1.22,0.50,0.47,0.14,36.0,129.7,30.4,85.7,170.5,23.2,79.6,0.330,0.252,0.352,0.396,0.408,0.408,0.358,0.296,23663,594,818.17,4.44,0,45,16,6,0,0.00,57.10,20.17,8.25,0.00,0.000,2.363,1.020,1.153,0.000,0.000,0.325,0.079,0.002,0.000,36779,2373,4375.98,7.02,730,477,1360.13,830.78,5.82,5.45,0.36,0.21
87O,87,Bulga,14/05/2019,REFERENCE,O,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,188.5,61,25,1,48,53,0.5,0,7.6,1.58,1.16,0.84,4.07,0.24,15.25,6.17,57.70,25.41,3.68,9.46,3.54,1.37,1.05,0.08,0.90,0.10,32.3,260.6,42.6,149.5,446.6,40.7,39.3,0.346,0.329,0.369,0.404,0.403,0.388,0.385,0.321,25109,610,837.51,4.50,1,20,13,15,1,1.00,48.00,25.25,39.50,1.00,0.000,1.798,1.902,1.453,0.000,0.000,0.266,0.006,0.027,0.001,40299,2115,4278.88,6.67,653,447,1243.04,773.13,5.23,5.41,0.39,0.22
87T,87,Bulga,14/05/2019,REFERENCE,T,3315,Central Hunter Ironbark-Spotted Gum Forest,NA,763.1,474,34,1,144,109,1.1,0,0.2,1.91,1.36,1.25,5.19,0.28,15.44,6.43,96.30,31.15,3.47,13.85,3.71,1.31,1.17,0.48,0.91,0.08,27.4,237.0,47.4,147.7,271.6,44.7,122.9,0.311,0.318,0.349,0.374,0.373,0.307,0.300,0.303,32472,664,886.04,4.87,2,21,14,9,2,2.50,25.17,18.17,11.00,2.00,0.637,1.619,2.172,1.620,0.500,0.000,0.121,0.007,0.014,0.001,41126,2291,4340.77,6.83,688,504,1382.75,839.00,5.48,5.48,0.36,0.23
65O,65,Mt Owen,6/04/2019,REHAB,O,3315,Central Hunter Ironbark-Spotted Gum Forest,1998,548.5,171,40,2,226,108,1.5,0,1.9,2.96,2.59,1.96,8.31,0.39,12.76,5.96,110.00,15.37,2.52,4.70,2.63,0.93,0.48,0.24,0.24,0.09,35.8,137.1,22.0,319.3,741.6,28.5,55.5,0.532,0.580,0.579,0.676,0.711,0.696,0.579,0.431,32588,546,754.18,4.49,1,27,9,3,1,1.00,35.00,17.00,3.00,1.00,0.000,1.537,1.920,0.456,0.000,0.001,0.241,0.003,0.006,0.000,36256,1813,3273.21,6.47,685,331,1241.57,606.24,5.64,4.66,0.41,0.21
65T,65,Mt Owen,6/04/2019,REHAB,T,3315,Central Hunter Ironbark-Spotted Gum Forest,1998,934,340,51,1,311,226,5,0,3.4,3.06,2.76,1.88,8.29,0.42,13.59,6.02,126.60,17.54,2.86,5.21,3.03,1.11,0.71,0.21,0.24,0.11,26.3,96.7,18.2,193.0,589.8,23.9,43.0,0.596,0.608,0.693,0.742,0.772,0.755,0.681,0.544,30132,490,620.31,4.39,3,26,13,4,2,5.00,28.00,25.25,4.50,2.00,1.040,1.510,2.203,0.855,0.500,0.000,0.280,0.004,0.003,0.001,48341,1874,3237.16,6.56,677,361,1129.20,595.67,5.71,4.78,0.37,0.25
66O,66,Mt Owen,6/04/2019,REHAB,O,3315,Central Hunter Ironbark-Spotted Gum Forest,1998,659.5,122,71,2,257,186,8.5,13,0.9,2.43,2.04,1.59,6.50,0.36,14.66,5.94,95.30,2.24,0.64,0.38,0.44,0.15,0.04,0.02,0.05,0.05,6.9,50.3,12.8,39.0,89.8,17.3,27.0,0.496,0.511,0.590,0.622,0.632,0.612,0.554,0.381,24410,636,860.17,4.67,10,17,25,7,1,18.17,19.00,28.50,11.50,1.00,2.245,1.746,2.801,1.461,0.000,0.001,0.301,0.012,0.005,0.000,43473,2385,4444.69,7.04,856,484,1504.16,856.40,6.00,5.70,0.43,0.19
66T,66,Mt Owen,6/04/2019,REHAB,T,3315,Central Hunter Ironbark-Spotted Gum Forest,1998,383.5,118,30,1,90,123,8.5,13,5.8,2.46,2.07,1.67,6.55,0.35,13.29,5.71,94.70,19.33,3.75,5.72,2.92,1.44,0.52,0.22,0.37,0.07,26.0,212.1,87.5,150.7,263.3,31.5,17.0,0.443,0.456,0.551,0.575,0.575,0.524,0.506,0.412,38281,755,1039.13,5.09,5,33,26,12,1,15.00,41.00,38.07,13.50,1.00,1.609,2.385,2.720,2.022,0.000,0.001,0.153,0.009,0.007,0.000,33406,2152,3852.03,6.87,795,414,1432.56,669.36,5.94,5.26,0.41,0.21
67O,67,Mt Owen,6/04/2019,REHAB,O,3315,Central Hunter Ironbark-Spotted Gum Forest,2009,111.9,17,31,4,40,17,1,1.9,0.6,1.75,1.17,1.07,4.17,0.22,8.26,6.38,71.80,14.92,2.74,3.97,2.27,1.24,0.28,0.14,0.34,0.05,97.8,410.7,78.8,163.9,484.5,122.0,34.3,0.342,0.391,0.419,0.387,0.408,0.437,0.370,0.357,37340,690,1007.52,5.10,8,16,33,9,4,12.00,37.00,65.00,9.17,4.50,1.749,2.070,2.633,1.656,0.897,0.002,0.015,0.023,0.007,0.006,35640,2210,3876.06,6.97,804,404,1281.75,697.56,6.02,5.17,0.42,0.19
67T,67,Mt Owen,6/04/2019,REHAB,T,3315,Central Hunter Ironbark-Spotted Gum Forest,2009,517,136,68,7,169,111,9.6,16.4,0,1.21,0.76,0.74,2.68,0.18,5.83,7.22,63.70,12.19,2.14,3.03,1.73,1.04,0.32,0.24,0.29,0.08,22.7,163.9,39.1,32.3,207.9,27.8,19.7,0.442,0.424,0.518,0.548,0.565,0.552,0.503,0.384,19245,525,658.61,4.40,2,21,19,9,2,2.00,23.50,29.67,9.17,2.00,0.562,1.510,2.363,0.454,0.637,0.000,0.192,0.010,0.042,0.001,31620,2249,3832.70,6.99,791,422,1346.56,600.96,5.98,5.10,0.39,0.23
