Sample_id,Plot_id,Site_id,Survey_date,Treatment,Patch,PCT_Number,PCT_Name,Establishment,Total_litter_ex_dung,Sticks_bark,Leaves_overstorey,Leaves_understorey,Coarse_frass,Fine_frass,Seeds_fruits,Woodchip,Dung,MIR_HUM%,MIR_POC%,MIR_ROC%,MIR_TOC%,MIR_TN%,Pmg/Kg,pH,ECmicroS/cm,PLFA_Total_biomass,PLFA_Gram+bacteria,PLFA_Gram-bacteria ,PLFA_General_bacteria,PLFA_Actinobacteria,PLFA_Fungi,PLFA_Protozoa,PLFA_Arbuscular_mycorrhizae,PLFA_Fungi:bacteria,Enzymes_AB,Enzymes_BG,Enzymes_CB,Enzymes_NAG,Enzymes_PHO,Enzymes_XYL,Enzymes_LAP,Resp_Water,Resp_Fructose,Resp_Glucose,Resp_Maltose,Resp_Raffinose,Resp_Sucrose,Resp_Threonine,Resp_Xylose,reads_fungi,obs_richness_fungi,chao1_richness_fungi,obs_shannon_fungi,obs_richness_fungi_ArbuscularMycorrhizal,obs_richness_fungi_Ectomycorrhizal,obs_richness_fungi_PlantPathogen,obs_richness_fungi_WoodSaprotroph,obs_richness_fungi_OrchidMycorrhizal,chao1_richness_fungi_ArbuscularMycorrhizal,chao1_richness_fungi_Ectomycorrhizal,chao1_richness_fungi_PlantPathogen,chao1_richness_fungi_WoodSaprotroph,chao1_richness_fungi_OrchidMycorrhizal,obs_shannon_fungi_ArbuscularMycorrhizal,obs_shannon_fungi_Ectomycorrhizal,obs_shannon_fungi_PlantPathogen,obs_shannon_fungi_WoodSaprotroph,obs_shannon_fungi_OrchidMycorrhizal,relabund_fungi_ArbuscularMycorrhizal,relabund_fungi_Ectomycorrhizal,relabund_fungi_PlantPathogen,relabund_fungi_WoodSaprotroph,relabund_fungi_OrchidMycorrhizal,reads_bacteria,obs_richness_bacteria,chao1_richness_bacteria,obs_shannon_bacteria,obs_richness_bacteria_copiotrophic,obs_richness_bacteria_oligotrophic,chao1_richness_bacteria_copiotrophic,chao1_richness_bacteria_oligotrophic,obs_shannon_bacteria_copiotrophic,obs_shannon_bacteria_oligotrophic,relabund_bacteria_copiotrophic,relabund_bacteria_oligotrophic
20O,20,Mangoola Mine,11/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2013,129.6,22,17,4,36,42,0.6,8,7,0.95,0.44,0.67,2.09,0.11,11.83,6.62,123.80,11.31,1.95,2.73,1.62,0.94,0.22,0.11,0.24,0.06,21.5,142.8,28.4,41.5,107.9,28.7,64.7,0.357,0.343,0.404,0.460,0.471,0.616,0.434,0.385,26131,632,782.88,4.54,10,12,31,14,1,12.25,30.00,37.13,46.00,1.00,2.034,0.703,2.741,0.844,0.000,0.004,0.023,0.034,0.024,0.000,48600,2299,4289.84,7.05,826,347,1402.05,671.74,6.04,5.01,0.41,0.18
20T,20,Mangoola Mine,11/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2013,792.6,134,153,17,400,86,2.6,0,1,0.97,0.45,0.54,2.12,0.15,8.56,6.14,133.00,13.15,2.04,3.90,1.85,0.89,0.51,0.34,0.26,0.11,19.8,83.6,22.0,27.9,92.6,20.7,38.3,0.355,0.310,0.383,0.410,0.417,0.449,0.480,0.525,28402,707,1011.11,4.91,5,22,34,11,5,11.00,46.50,214.50,17.00,5.00,1.160,1.818,2.722,1.651,1.361,0.001,0.166,0.017,0.028,0.005,41761,2081,3734.07,6.91,801,296,1540.38,548.08,5.91,4.99,0.43,0.14
21O,21,Mangoola Mine,11/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2013,64.3,12,2,1,14,35,0.3,0,0.1,1.16,0.52,0.80,2.61,0.12,11.31,5.96,212.00,12.67,2.12,3.30,1.88,0.95,0.34,0.07,0.21,0.08,6.9,41.1,8.5,18.4,63.6,11.8,45.7,0.302,0.304,0.394,0.372,0.411,0.390,0.346,0.289,24032,799,1097.73,5.24,17,23,37,18,2,20.00,31.17,46.00,30.25,2.50,2.718,2.557,2.921,1.495,0.637,0.004,0.020,0.029,0.054,0.000,43389,2304,4159.74,7.07,901,340,1606.01,585.84,6.05,5.27,0.48,0.14
21T,21,Mangoola Mine,11/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2013,368,54,24,7,142,137,4,0,0.2,1.17,0.69,0.70,2.74,0.13,9.78,6.68,97.20,17.14,2.58,4.60,2.52,0.41,0.94,0.38,0.49,0.18,29.9,154.1,28.0,43.1,146.5,30.9,166.1,0.280,0.358,0.424,0.444,0.361,0.474,0.335,0.420,27561,742,1073.36,5.12,18,9,30,8,3,20.25,10.00,33.06,12.50,3.00,2.661,0.578,2.647,1.787,0.746,0.005,0.093,0.024,0.003,0.002,46860,2384,4284.03,7.14,864,365,1566.00,629.89,6.12,5.13,0.40,0.18
29O,29,Mangoola Mine,13/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2015,20.2,9,1,3,3,2,2.2,0,0.9,0.71,0.26,0.37,1.49,0.08,12.78,5.57,1030.00,9.84,1.63,2.43,1.32,0.72,0.39,0.14,0.19,0.12,23.2,96.8,22.0,76.0,129.6,18.1,22.6,0.302,0.275,0.319,0.319,0.334,0.318,0.322,0.277,18188,579,867.80,4.33,46,29,23,9,1,67.13,35.13,27.08,19.00,1.00,3.177,2.818,2.160,1.592,0.000,0.058,0.021,0.026,0.005,0.000,33623,1748,2802.68,6.65,683,186,1067.06,309.56,5.70,4.45,0.46,0.10
29T,29,Mangoola Mine,13/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2015,165.8,41,48,7,32,35,2.8,0,0.3,0.88,0.37,0.53,1.91,0.10,9.78,5.94,425.00,11.33,1.72,3.06,1.59,0.09,0.76,0.29,0.29,0.20,7.0,108.1,41.3,16.4,77.9,9.8,33.1,0.307,0.266,0.330,0.356,0.368,0.335,0.340,0.257,26148,512,616.32,4.73,27,4,32,6,5,30.00,4.00,62.25,7.00,5.00,2.498,0.752,2.153,1.087,1.374,0.027,0.048,0.067,0.012,0.006,40283,1872,3095.64,6.74,714,205,1192.31,335.65,5.78,4.59,0.45,0.10
31O,31,Mangoola Mine,13/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2014,219.4,11,9,38,59,66,0.4,36,2.3,1.42,0.71,0.75,2.87,0.19,25.46,6.20,103.20,15.17,2.51,3.89,2.20,1.18,0.97,0.15,0.31,0.19,43.5,277.6,48.0,22.2,358.4,11.8,19.8,0.367,0.407,0.355,0.481,0.474,0.502,0.411,0.315,16549,597,760.63,4.89,25,7,31,7,1,29.57,9.00,41.29,7.67,1.00,2.742,0.528,2.425,0.669,0.000,0.011,0.034,0.039,0.009,0.007,37260,2059,3799.84,6.82,849,314,1545.34,530.95,5.87,5.08,0.50,0.14
31T,31,Mangoola Mine,13/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2014,320.4,44,25,50,100,97,2.4,2,8,1.49,0.90,0.76,3.23,0.21,21.56,6.41,128.30,15.77,2.53,4.01,2.35,1.08,1.25,0.13,0.41,0.24,27.8,168.0,26.1,47.4,164.0,22.8,42.6,0.443,0.433,0.536,0.574,0.577,0.584,0.525,0.402,23041,601,793.08,4.81,10,12,23,7,1,16.25,14.25,29.13,10.00,1.00,1.862,1.360,1.966,1.509,0.000,0.003,0.053,0.043,0.004,0.000,49061,2102,3397.30,6.95,825,280,1276.95,437.11,5.94,5.06,0.48,0.12
32O,32,Mangoola Mine,13/03/2019,REHAB,O,3431,Central Hunter Ironbark Grassy Woodland,2013,40.8,8,2,1,12,17,0.8,0,0,1.06,0.56,0.56,2.38,0.12,13.99,6.03,148.70,16.74,2.82,4.49,2.55,1.35,0.78,0.25,0.29,0.15,70.9,378.3,114.7,144.0,330.9,98.3,212.0,0.444,0.431,0.516,0.563,0.576,0.584,0.529,0.374,32240,787,1114.12,4.99,9,28,34,9,3,13.17,58.25,52.75,10.00,6.00,1.850,1.241,1.843,0.830,1.099,0.002,0.055,0.045,0.023,0.000,32360,2063,3689.55,6.86,816,274,1333.23,478.55,5.92,4.90,0.49,0.13
32T,32,Mangoola Mine,13/03/2019,REHAB,T,3431,Central Hunter Ironbark Grassy Woodland,2013,571.1,84,61,10,178,233,5.1,0,0,1.13,0.64,0.60,2.60,0.14,10.96,5.91,89.70,17.95,2.77,4.68,2.68,1.17,1.44,0.37,0.35,0.26,45.0,328.7,92.7,201.1,401.3,43.0,104.9,0.400,0.419,0.476,0.540,0.578,0.580,0.523,0.304,33082,672,865.57,5.02,6,15,31,17,1,10.50,19.00,39.17,17.90,1.00,1.543,1.641,2.442,1.445,0.000,0.002,0.095,0.035,0.079,0.001,45965,2173,4118.44,6.90,847,330,1534.17,562.97,5.96,4.91,0.45,0.16
