Plot_id,Site_id,Treatment,PCT_Number,PCT_Name,Establishment,SSC_Foliage_cov,SSC_Basal_cov,SSC_Litter _cov,SSC_litter_origin,SSC_Litter_inc,SSC_Crypt_CovCode,SSC_brokeness,SSC_Erosion_cov,SSC_Deposited_Cov,SSC_roughness,SSC_Rest_adj,SSC_Stability,SSC_Texture,Stability_ind,Infiltration_ind,Nutrient_ind,NativeP_richness,EG_Rich,EX_Rich,FG_Rich,GG_Rich,HT_Rich,OG_Rich,SG_Rich,TG_Rich,EG_Cov,EX_Cov,FG_Cov,GG_Cov,HT_Cov,OG_Cov,SG_Cov,TG_Cov,OS_Cov_BBAM,MS_Cov_BBAM,GC_Grass_BBAM,GC_Shrub_BBAM,GC_Other_BBAM,Overs_rec,Evid_Fl_Fruit,CWD,Euc_Stems_<5cm,NonEuc_ Stem_<5cm DBH:,Euc_Stem_5-9cm,NonEuc_Stem_5-9cm,Euc_Stem_10-19cm,NonEuc_Stem_10-19cm,Euc_Stem_20-29cm,NonEuc_Stem_20-29cm,Euc_Stem_30-49cm,NonEuc_Stem_30-49cm,Euc_Stem_50-79cm,NonEuc_Stem_50-79cm,Euc_Stem _>80cm,NonEuc_Stem_>80cm,Hollows_50-79cm,Hollows_>80cm,BAM_Comp_Score,BAM_Struct_Score,BAM_Funct_Score,BAM_Veg_Integ_Score,BAM_Litter,SLA_avg,total_nitrogen,total_carbon,B_ppm,Na_ppm,Mg_ppm,P_ppm,K_ppm,Ca43_ppm,Ca44_ppm,Mn_ppm,Fe_ppm,Cu_ppm,Zn66_ppm,Zn67_ppm,Sr_ppm,Mo_ppm,Pb_ppm,ungulate_dung_events_20x20,PA_ungulate_dung_ 50cm_50m,PA_macropod_dung_50cm_50m,PA_rabbit-hare_dung_ 50cm_50m
31,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2014,1.9,1.5,5.0,1.1,1.2,1.0,4.0,3.6,2.2,3.5,4.9,3.0,2.0,59.5,41.5,32.0,27,0,7,6,9,2,1,7,4,0,0.65,0.85,1.4,0.3,0.05,14.2,18,1.5,12.7,4,8,6,0,12,19,60,45,2,3,0,0,0,0,0,0,0,0,0,0,0,0,64,22,43,39,67,16.546,1.496,50.618,50.105,810.601,4019.213,529.022,4280.492,10511.490,10487.164,677.964,102.570,2.757,22.622,18.311,87.940,0.186,0.478,10,5,34,0
32,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2013,1.9,1.5,3.6,1.3,1.2,1.4,4.0,3.6,2.6,3.2,3.6,3.0,2.0,57.7,32.8,26.7,35,1,4,13,8,1,1,8,4,0.1,0.35,1.95,1.65,0.5,0.05,11.6,15.7,0,8.7,2,2,0,0,16,4,19,35,4,22,1,0,0,0,0,0,0,0,0,0,0,0,83,19,39,39,52,20.014,2.175,53.737,16.196,536.871,4276.945,686.389,6822.904,6324.498,6406.433,185.258,113.971,2.995,15.591,12.042,43.003,0.250,0.216,2,1,22,0
33,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,1.2,1.4,3.9,1.3,1.3,1.5,4.0,3.5,2.5,3.0,5.3,3.0,2.0,55.5,36.4,27.8,24,1,3,6,8,1,1,4,4,0.1,0.25,7.6,0.85,2,0.05,7.5,19.1,24,0,2,14,0,0,12,4,60,52,49,2,3,0,0,0,0,0,0,0,0,0,0,0,58,24,39,38,51,20.190,1.654,51.172,33.446,428.637,5566.056,527.594,4723.689,8433.345,8343.745,471.517,92.443,1.516,24.728,19.258,69.340,0.310,0.338,1,2,18,0
34,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2012,1.7,1.9,3.5,1.2,1.2,1.0,3.6,3.5,2.5,2.5,4.2,2.9,2.0,53.9,32.5,24.0,32,1,3,12,8,1,1,6,4,0.1,0.2,2,1,0.1,0.05,9.2,18.1,10,3.5,4,2,4,0,11,4,18,55,28,12,2,2,0,0,0,0,0,0,0,0,0,0,81,19,39,39,56,13.362,1.522,51.539,19.635,706.291,3233.848,726.583,7561.464,5020.806,4927.933,898.896,81.388,1.814,26.144,19.253,33.258,0.067,0.308,4,2,24,0
35,Mangoola Mine,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2012,2.1,1.6,4.2,1.2,1.3,1.0,3.7,3.6,2.5,3.2,4.0,3.0,2.0,57.3,35.4,28.3,29,0,2,10,7,1,1,6,5,0,0.1,1.05,1,1,0.05,16.1,13.1,2.7,5.7,2,2,2,0,7,5,26,50,27,1,2,0,0,0,0,0,0,0,0,0,0,0,73,17,39,37,57,20.487,1.859,51.219,17.668,670.976,3586.932,875.361,7800.824,5066.351,5048.427,185.012,72.674,1.800,21.945,16.539,41.954,0.157,0.468,3,2,20,0
45,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2010,1.9,2.7,4.2,1.2,1.6,2.8,4.0,3.9,2.3,3.8,4.4,3.4,2.0,63.4,42.9,40.6,33,0,8,9,13,3,1,5,5,0,1.85,1.1,4.05,1.5,0.2,5.5,35,14.4,1,14,0,10,0,22,0,65,29,90,7,6,0,0,0,0,0,0,0,0,0,0,0,75,33,39,46,72,16.598,1.460,51.507,30.340,39.514,3627.953,549.393,9186.544,6886.170,6772.230,197.897,121.409,5.620,37.648,28.602,95.900,0.134,0.445,0,0,3,0
46,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2009,2.4,3.0,4.9,1.2,1.6,1.8,3.7,3.7,2.1,3.5,5.4,3.4,2.0,60.5,51.5,44.6,21,1,6,5,5,2,1,4,5,0.05,0.75,0.5,0.5,5.1,0.1,1.7,45.1,33,0,2,0,2,0,8,2,950,10,25,3,0,0,0,0,0,0,0,0,0,0,0,0,44,35,32,37,55,18.240,1.227,51.452,20.113,1162.514,2883.962,575.609,6687.433,5420.115,5408.180,259.246,94.161,6.113,70.458,53.492,71.990,0.156,0.272,0,0,1,3
47,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,3.5,3.5,5.0,1.5,1.6,1.0,3.8,3.8,4.0,2.1,5.7,3.1,2.0,66.5,51.4,45.1,34,0,6,4,10,3,2,14,4,0,1.7,5.3,24.4,51.2,0.15,8,4.8,0,0,30,24,4,0,20,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,27,21,33,14,10.496,1.259,49.890,21.832,919.225,4028.445,883.455,5320.227,9396.834,9768.313,70.943,98.826,3.198,37.690,27.549,259.772,2.192,0.405,0,0,4,0
48,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2015,2.7,2.7,3.3,1.4,1.2,1.0,3.4,3.4,3.3,2.3,4.1,3.0,2.0,57.2,34.6,27.1,37,0,3,1,17,5,1,10,8,0,0.3,4,18,3.5,0.5,18.5,10.65,0.5,3.1,38,14,6,0,18,0,35,60,6,5,0,0,0,0,0,0,0,0,0,0,0,0,54,27,29,35,22,16.887,2.034,53.340,17.737,877.576,4423.266,582.546,4025.932,10658.343,10668.272,88.237,106.824,4.575,38.249,30.028,240.987,1.577,0.295,0,0,2,0
49,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,1.6,2.6,4.8,1.4,1.3,1.7,3.5,3.8,3.5,1.7,3.0,3.0,2.0,62.8,37.0,34.4,35,0,6,8,13,5,1,8,5,0,7.5,0.9,31.9,1.3,0.2,15.6,20,3.5,8.5,8,0,6,0,22,NA,66,20,31,5,0,0,0,0,0,0,0,0,0,0,0,0,75,51,32,50,72,11.242,1.175,50.938,28.360,1349.832,2939.222,457.348,4567.430,7538.438,7324.187,364.397,70.469,2.941,43.867,34.369,98.916,0.236,0.460,0,0,1,1
50,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2014,4.6,3.8,3.8,1.5,1.4,1.0,3.9,3.7,3.9,2.1,5.2,3.0,2.0,65.9,42.2,34.6,34,0,10,7,12,2,1,8,6,0,22,4.05,43,5,0.2,15.1,9,1,19.5,44,10,30,0,20,0,19,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,53,32,50,34,20.327,1.631,53.436,10.500,602.254,2054.971,710.922,6048.761,3143.588,3108.475,26.913,76.950,3.536,41.046,35.290,73.354,0.997,0.275,0,0,5,0
59,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,3.7,2.6,4.2,1.1,1.4,1.2,4.0,3.6,3.0,2.4,3.3,3.0,2.0,64.3,39.7,36.1,27,0,9,6,6,4,3,8,4,0,6.4,0.7,1.3,22.5,0.3,31.2,5.3,0,5.2,2,6,2,0,13,0,17,60,0,4,0,0,0,0,0,0,0,0,0,0,0,0,63,13,32,30,71,13.094,1.514,52.664,23.891,720.939,3302.168,418.163,3819.589,6152.079,6204.922,216.093,78.200,4.006,18.234,15.369,73.733,0.216,0.507,0,0,2,1
60,Mt Thorley Warkworth,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,2011,4.3,3.4,4.5,1.4,1.6,3.4,4.0,3.9,4.0,1.2,3.3,3.0,2.0,75.3,42.5,44.9,29,0,8,5,11,5,1,8,4,0,1.55,0.65,15.7,11.3,0.1,28.1,14,13,0.5,30,0,0,0,19,0,66,53,7,6,0,0,0,0,0,0,0,0,0,0,0,0,62,25,32,37,52,14.042,1.205,50.725,36.860,1214.538,4195.090,585.847,4546.698,10599.978,10367.739,386.701,122.615,2.739,48.019,40.056,140.833,0.144,0.594,0,0,10,0
64,United,Rehabilitated,3431,Central Hunter Ironbark Grassy Woodland,1992,3.0,2.8,5.7,1.5,1.9,1.2,4.0,4.0,4.0,2.2,5.2,3.0,2.0,68.3,55.7,52.8,48,2,2,3,7,0,2,4,8,0.6,15.05,0.15,1.3,0,0.15,1,27.8,6.5,3,4,0,4,0,7,8,250,3,65,0,20,0,1,0,0,0,0,0,0,0,0,0,51,24,46,38,84,20.290,1.334,52.338,17.928,1407.585,2450.582,557.164,5511.904,7865.149,7599.171,1493.068,103.407,6.189,44.548,35.749,39.464,0.032,0.323,0,0,3,0
