Sample_id,Plot_id,Site_id,Survey_Date,Treatment,Subplot,Patch,PCT_Number,PCT_Name,Esstablishment,Dbh_cm,Tree sp.,dist_Tree_m,Foliage_Cover_<0.5,Logs_<0.5,Litter_<0.5,Compost,Cryptogam,Rock,Bare soil,Shrub_>0.5,Tree>0.5,Other,
39CO,39,Mangoola Mine,15/03/2019,Reference,C,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,1.5,10,0,90,0,0,0,0,0,0,0,
39CT,39,Mangoola Mine,15/03/2019,Reference,C,T,3431,Central Hunter Ironbark Grassy Woodland,NA,17,,,0,0,100,0,0,0,0,0,20,0,
39DO,39,Mangoola Mine,15/03/2019,Reference,D,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2,3,0,97,0,0,0,0,0,5,0,
39DT,39,Mangoola Mine,15/03/2019,Reference,D,T,3431,Central Hunter Ironbark Grassy Woodland,NA,36,,,0,0,90,0,0,0,10,0,80,0,
40AO,40,Mt Thorley Warkworth,26/03/2019,Reference,A,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,1.5,4,0,76,0,0,0,20,0,40,0,
40AT,40,Mt Thorley Warkworth,26/03/2019,Reference,A,T,3431,Central Hunter Ironbark Grassy Woodland,NA,19,E.crebra,,3,0,87,0,0,0,10,0,60,0,
40BO,40,Mt Thorley Warkworth,26/03/2019,Reference,B,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,5,6,0,80,0,4,0,10,0,0,0,
40BT,40,Mt Thorley Warkworth,26/03/2019,Reference,B,T,3431,Central Hunter Ironbark Grassy Woodland,NA,9,E.crebra,,5,0,51,0,4,0,40,0,60,0,
40CO,40,Mt Thorley Warkworth,26/03/2019,Reference,C,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2,3,0,75,0,2,0,20,0,0,0,
40CT,40,Mt Thorley Warkworth,26/03/2019,Reference,C,T,3431,Central Hunter Ironbark Grassy Woodland,NA,11,Allocasurina,,0,0,90,0,0,0,10,0,80,0,
40DO,40,Mt Thorley Warkworth,26/03/2019,Reference,D,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2.5,7,0,38,0,5,0,50,0,0,0,
